YEAR,MO,DY,Temperature,Relative_Humidity,Specific_Humidity,Precipitation,Pressure,Wind_Speed,Wind_Direction,pm25
2017,1,2,26.67,79.38,17.03,0.22,100.49,2.81,90.94,84
2017,1,3,26.91,77.19,16.91,0.06,100.46,1.99,106.56,109
2017,1,4,26.06,80.62,16.85,0,100.39,2.52,115,128
2017,1,5,26.54,81,17.27,0,100.34,3.47,83.19,118
2017,1,6,26.63,79.31,17.09,0.01,100.23,3.06,103.19,87
2017,1,7,25.89,83.12,17.21,0,100.22,3.86,98.5,104
2017,1,8,25.99,81.31,16.78,0,100.25,3.5,112.88,68
2017,1,9,26.44,78.81,16.48,0,100.27,3.05,119.69,79
2017,1,10,26.78,76.5,16.42,0,100.35,2.31,104.19,99
2017,1,11,26.55,77.44,16.36,1.47,100.38,1.77,122.31,112
2017,1,12,26.52,79.31,16.91,0.86,100.28,1.75,298.31,116
2017,1,13,27.84,74.62,17.09,6.63,100.22,1.6,268.69,123
2017,1,14,25.81,84.94,17.58,11.49,100.31,1.57,183.12,112
2017,1,15,25.48,87.81,17.82,3.49,100.46,1.88,95.88,118
2017,1,16,25.45,88.12,17.82,3.78,100.43,3.34,146.62,87
2017,1,17,26.27,82.25,17.33,0.02,100.51,2.61,103.94,103
2017,1,18,26.64,75.81,16.24,0.03,100.68,1.98,47.94,105
2017,1,19,26.29,76.88,16.17,0.09,100.62,2.53,73,125
2017,1,20,26.09,80.19,16.72,0.73,100.65,2.11,104.62,130
2017,1,21,25.9,77.62,15.87,0.4,100.81,2.32,74.38,109
2017,1,22,26.29,74.69,15.69,0.01,100.81,2.71,78.06,121
2017,1,23,26.51,70.81,15.01,0,100.75,2.23,72.31,106
2017,1,24,26.52,74.62,15.81,0.58,100.77,2.11,71.69,111
2017,1,25,26.76,81.31,17.52,1.69,100.78,2.15,81.56,133
2017,1,26,26.89,73.06,15.75,0.05,100.7,2.69,145.88,96
2017,1,27,25.24,64.38,12.45,0,100.72,2.12,56.69,89
2017,1,28,25.39,66.75,12.94,0,100.61,2.08,191.62,124
2017,1,29,26.07,74.19,15.01,0,100.63,1.56,137.31,110
2017,1,30,25.83,77.69,15.75,0,100.58,1.77,180.38,90
2017,1,31,26.76,70.94,15.08,0,100.54,1.41,147.19,101
2017,2,1,27.19,72.81,15.93,1.61,100.55,1.62,182.38,104
2017,2,2,25.91,86.62,18.01,3.85,100.62,1.19,301.69,92
2017,2,3,25.87,80.69,16.6,0.25,100.55,2.21,125.5,87
2017,2,4,27.17,73.88,16.11,0.08,100.44,1.15,171.06,78
2017,2,5,27.46,75.06,16.6,0.27,100.37,2.65,238.56,75
2017,2,6,27.22,68.69,14.65,0.01,100.4,2.12,196.5,93
2017,2,7,25.8,66.5,12.7,0.07,100.46,2.07,178.56,94
2017,2,8,25.93,67.12,12.88,0,100.51,1.84,130.12,120
2017,2,9,26.88,68.12,13.85,0,100.49,1.93,105.19,106
2017,2,10,26.77,69.69,14.47,0.04,100.6,2.1,166.88,117
2017,2,11,27.05,58.06,12.21,0,100.8,3.23,58.56,102
2017,2,12,25.97,57,11.17,0,100.91,1.97,45.19,105
2017,2,13,26.3,56.44,11.17,0,100.98,1.95,67.75,121
2017,2,14,26.58,61.31,12.57,0,101.06,2.83,63.69,118
2017,2,15,26.9,59,12.33,0,100.93,3.27,57.25,97
2017,2,16,25.21,58.25,10.74,0,100.84,2.23,95.81,109
2017,2,17,26.76,64.62,13.49,0,100.77,2.78,98.44,113
2017,2,18,28.23,64.12,14.47,0,100.77,1.82,122.69,122
2017,2,19,28.03,64.5,14.59,0.01,100.61,2.32,169.31,122
2017,2,20,27.51,69.56,15.26,0.07,100.47,3.07,125.81,94
2017,2,21,28.9,67.75,15.87,0.17,100.51,3.09,125.56,75
2017,2,22,28.7,70.19,16.48,0.49,100.55,3.84,116,73
2017,2,23,29.05,65.75,15.26,0,100.57,4.23,120.62,74
2017,2,24,28.92,66.12,15.44,0.09,100.65,4.39,116.62,76
2017,2,25,29.62,61.25,14.77,0.33,100.49,2.55,92.38,117
2017,2,26,29.03,63.94,15.38,1.05,100.47,2.34,85.19,128
2017,2,27,29.93,57.88,14.34,0.01,100.51,2.61,63.69,117
2017,2,28,30.03,55.06,13.67,0.1,100.44,2.48,84.81,94
2017,3,1,29.99,56.75,14.22,0.48,100.46,1.77,105.06,104
2017,3,2,29.6,54.25,13.31,0,100.48,1.85,102.69,119
2017,3,3,28.9,54.56,12.63,0,100.35,2.58,136.38,132
2017,3,4,28.6,58.5,12.88,0,100.35,2.61,161.94,136
2017,3,5,28.16,64.81,14.22,0,100.38,2.84,141.25,97
2017,3,6,28.41,66.31,15.01,0,100.36,3.09,140.69,88
2017,3,7,28.37,60.38,13.12,0,100.42,4.29,132.81,87
2017,3,8,27.99,62.81,13.31,0,100.48,4.19,120.81,85
2017,3,9,28.12,60.62,13.06,0,100.43,5.09,124.38,81
2017,3,10,28.64,61.75,13.61,0,100.41,4.19,132.81,94
2017,3,11,28.62,64.19,14.28,0,100.49,3.88,143.75,101
2017,3,12,28.74,62.94,14.22,0,100.51,3.4,150.06,85
2017,3,13,29.62,60.69,14.71,0.01,100.48,3.23,157.19,91
2017,3,14,28.44,67.06,15.87,0.01,100.51,3.31,156.31,80
2017,3,15,29.5,63.38,15.26,0.01,100.43,4.2,134.31,101
2017,3,16,29.29,67.69,16.54,0.04,100.35,4.5,134.81,96
2017,3,17,29.51,65.44,16.24,0.01,100.41,4.99,129.94,89
2017,3,18,29.34,66.56,15.99,0.44,100.58,5.48,132.69,87
2017,3,19,29.37,67.62,16.48,0.02,100.59,3.87,134.44,94
2017,3,20,30.45,59.94,15.08,0,100.5,4.22,128.44,97
2017,3,21,30.14,62.62,15.93,0.28,100.45,3.91,146.19,5
2017,3,22,29.26,64.25,15.69,1.95,100.4,4.16,153.56,13
2017,3,23,29.73,63.19,15.5,0,100.41,5.19,131.69,56
2017,3,24,30.02,63.56,15.93,0,100.51,5.44,128.31,65
2017,3,25,29.64,64.5,15.93,0.01,100.55,5.62,118.88,67
2017,3,26,29.58,59.12,13.67,0.25,100.58,4.8,113.31,70
2017,3,27,30.26,54.5,13.37,0.66,100.66,4.46,110.75,87
2017,3,28,30.79,54,14.1,0.11,100.59,4.07,109.25,95
2017,3,29,29.48,60,14.89,0.21,100.66,3.48,103.81,90
2017,3,30,30.26,55.88,14.1,0.05,100.69,4.28,107.94,109
2017,3,31,30.3,60.12,15.44,0.37,100.61,3.92,117.94,88
2017,4,1,28.24,70.31,16.48,1.9,100.59,2.89,103.12,92
2017,4,2,29.61,61.75,15.08,2.41,100.58,2.32,97.94,110
2017,4,3,29.44,65,15.99,0.6,100.58,2.97,150.69,97
2017,4,4,29.97,62.06,15.56,0.89,100.54,3.76,135.56,114
2017,4,5,28.17,69.25,16.24,1.13,100.49,3.77,109.25,81
2017,4,6,27.59,77.94,17.52,14.17,100.37,3.54,105.69,71
2017,4,7,28.51,73.69,17.33,0.06,100.39,5.19,117.44,76
2017,4,8,29.73,67.12,16.54,0.02,100.38,5.17,123.12,87
2017,4,9,30.06,66.94,16.97,0.57,100.33,4.95,130.31,73
2017,4,10,30.54,67.12,17.33,0.01,100.26,4.58,144.38,67
2017,4,11,31.29,63.75,16.78,0,100.2,3.41,157.94,66
2017,4,12,31.43,62.75,16.72,0,100.27,3.94,150.75,74
2017,4,13,30.87,61.88,16.11,0,100.49,4.96,130.56,61
2017,4,14,30.85,55,13.67,0,100.45,5.38,120.25,36
2017,4,15,30.97,56,14.28,0,100.38,4.83,115.75,53
2017,4,16,30.9,59.62,15.5,0,100.39,5.34,132.5,48
2017,4,17,31.26,58.31,15.56,0,100.42,3.91,146.69,37
2017,4,18,31.62,57.88,15.87,0.61,100.37,3.33,158.81,48
2017,4,19,31.83,57.75,15.93,0.01,100.34,3.8,177.5,49
2017,4,20,31.92,59.69,16.6,0.01,100.37,4.01,176.69,31
2017,4,21,32.34,59.19,16.54,0.41,100.31,3.64,191.19,38
2017,4,22,32.37,59.56,16.85,4.25,100.29,2.61,206.12,72
2017,4,23,30.51,65.56,17.52,0.16,100.39,2.89,159.06,81
2017,4,24,30.05,66.06,17.09,0.16,100.46,3.4,139.94,70
2017,4,25,30.05,66.62,17.15,0.82,100.42,3.18,146.44,70
2017,4,26,31.62,58.38,15.75,0.09,100.38,3.55,145.81,76
2017,4,27,30.58,63.81,16.97,1.69,100.42,2.3,154.38,70
2017,5,3,31.78,59.94,16.72,0.05,100.41,1.84,164,49
2017,5,4,31.41,62.69,17.4,4.11,100.4,2.7,162.38,33
2017,5,5,30.5,66.81,17.46,3.49,100.53,2.49,169.31,87
2017,5,6,29.4,71,17.64,0.9,100.66,3.92,111.31,77
2017,5,7,30.37,63.5,16.36,0.21,100.6,3.34,124.56,94
2017,5,8,30.59,63.25,16.42,0.28,100.42,3.65,121.88,88
2017,5,9,29.72,68.19,17.27,1.3,100.37,3.52,131.38,77
2017,5,10,29.4,68.56,17.09,1.59,100.48,4.09,109.44,67
2017,5,11,30.46,61.56,15.93,1.79,100.44,4.26,111.31,64
2017,5,12,30.93,60.44,15.99,0.47,100.34,4.62,120.75,65
2017,5,13,30.58,66.06,17.33,0.81,100.26,3.3,130.06,91
2017,5,14,28.28,78.81,18.86,3.86,100.26,2.61,122,85
2017,5,15,29.1,76.44,18.92,2.98,100.16,2.58,147.38,81
2017,5,16,28.5,82.75,20.02,13.68,100.14,2.5,206.19,110
2017,5,17,28.65,81.25,19.71,13.36,100.18,1.55,232.19,86
2017,5,18,28.98,80.94,20.02,6.87,100.3,2.1,202.44,81
2017,5,19,28.52,84.81,20.51,17.72,100.29,2.8,230.44,73
2017,5,20,28.8,82.38,20.2,3.67,100.13,2.64,234.06,106
2017,5,21,29.33,79.38,19.96,1.66,100.04,3.09,226.62,67
2017,5,22,28.92,80.88,19.96,3.12,100.16,3.27,221.31,66
2017,5,23,29.45,76.75,19.35,0.23,100.22,2.78,224.88,69
2017,5,24,29.73,74.62,19.1,0.42,100.16,2.84,231.81,71
2017,5,25,30.19,71.75,18.62,0.82,100.15,2.69,237.31,80
2017,5,26,29.26,75.12,18.74,1.26,100.18,2.92,228.69,77
